,age,division_name,department_name,class_name,clothing_id,title,review_text,alike_feedback_count,rating,recommend_index ,Department,Sentiment,Emotions,Summary,date
325,55,General,Dresses,Dresses,1095,,"This dress is very versatile. it is comfortable and very flattering. the armholes were not too big. you do need to wear a bra that crosses in the back if you do not want the straps to show. i purchased the red/pink color and it is very vibrant and not see through at all. the length is great as it is above the knee by a few inches, it accentuates the best part of the leg. it also can be dressed up with heels and jewelry or more casual with flatter shoes. it is a classic style, not trendy so it wi",4,5,1,Product,positive,"versatile, comfortable, flattering, vibrant, classic","versatile and flattering dress, vibrant color, classic style",2022-05-29 07:26:11.830985915
326,30,General,Tops,Knits,863,Best fall purchase i made!,"Although the weather is getting warm in ca, the gold color and cut of this shirt made me want to buy just one more long sleeved item--and it didn't disappoint! i'm actually looking forward to next winter so i can wear it again!",0,5,1,Product,positive,"excited, satisfied, eager, happy, content","gold color and cut of shirt, looking forward to next winter",2022-05-29 17:34:38.873239436
327,47,General,Bottoms,Pants,1070,Almost right but not quite...,"I bought this jumpsuit in a size medium (32d, 31 waist, 38 hips/butt). i have a jumpsuit in this style but it's silk so i was looking for one i could wear anytime. that said, even i need a heel with this jumpsuit. the problems were these: first, it was very hard to get on. very hard to tie the back, get all four panels even, tied, hiding my bra, etc. lots of fussing. your may need a partner to help. if i hadn't been doing a lot of yoga, i may not have managed. once on, the style looked great. as",22,3,1,Product,negative,"frustration, satisfaction, disappointment, annoyance, determination","jumpsuit sizing and fit issues, difficult to put on and tie, requires assistance",2022-05-30 03:43:05.915492957
328,34,General,Bottoms,Jeans,1037,Not flattering for my body type,"I really wanted to like these, but they just didn't look right on my 5'3 sorta bulky frame. i have big thighs and always feel out of place wearing leggings, so maybe i'm just not the right target for these, but they looked so cute and i wanted to give them a try. the waist was too high for my liking, and the leg openings were too big and gave me a stumpified look.",1,2,0,Product,negative,"disappointment, frustration, curiosity, hope, dissatisfaction",high-waisted leggings with big leg openings didn't fit well.,2022-05-30 13:51:32.957746479
329,24,Initmates,Intimate,Swim,536,Great suit!,"This suit is the most flattering suit i have owned in a while, as well as the most comfortable! though the suit is not lined, the light wetsuit material holds me in and is supportive, despite the open back and the slight looseness of it. if you do any water sports, i think this is a perfect suit. i did purchase some silicone covers for myself, however, to avoid looking like a farrah fawcett throwback.",2,4,1,Product,positive,"flattering, comfortable, supportive, perfect, avoid","flattering, comfortable, supportive suit for water sports",2022-05-31 00:00:00.000000000
330,58,General Petite,Tops,Blouses,824,Too boxy,"I really liked this top but when i tried it on it was big and too boxy. i considered ordering it in petite but the sales person said that the cut would be the same, boxy but shorter so i decided to pass.",2,3,0,Product,negative,"liked, big, boxy, considered, ordering, petite, sales person, cut, shorter, pass","big and boxy top, considered ordering petite but decided to pass",2022-06-01 00:00:00.000000000
331,45,General,Bottoms,Skirts,1001,Beautiful skirt,"Fit, length and design were perfect. i took this skirt on a recent business trip and it transitioned perfectly from meetings to cocktail with an accessory change.",0,5,1,Product,positive,"perfect, transitioned, accessory change","perfect fit, length, and design for business trip.",2022-06-01 05:34:04.800000000
332,38,General,Tops,Blouses,838,This is another ubiquitous swing top,"Yes, it's a swing top, just like many of the other swing tops retailer is offering this season. i find this silhouette unflattering on me, being top heavy, so i was frustrated to discover the swing-ness only after i ordered it and it arrived at my house. it also runs huge, with big gaping arm holes. the sleeves are cute and fluttered. the black panels on the sides are semi-sheer. it is a pretty boxy top, which the photo doesn't seem to capture. order at least a size smaller than usual.",3,3,1,Product,negative,"frustrated, cute, pretty, unflattering, huge","swing top, unflattering silhouette, runs huge, cute fluttered sleeves",2022-06-01 11:08:09.600000000
333,30,General Petite,Bottoms,Jeans,1033,Pleasantly surprised,"I felt like i was taking a risk by ordering these without trying them on, but i am so happy i did. they are soft and solid without being thick or stiff. incredibly comfortable. i have a larger hip and booty and these fit great. no grabbing at all and without making the top too big or loose.",3,5,1,Product,positive,"happy, comfortable, satisfied, relieved, content","soft and comfortable, fits well for larger hips and booty.",2022-06-01 16:42:14.400000000
334,43,General,Bottoms,Pants,1066,Better than in the photo,"Don't pay attention to the less-than-flattering photo. these jeans are super cute and very flattering. they are actually long, not ankle length as the photo implies. high waisted with a 70s bell bottom vibe. nice light denim for year round wear. they fit like a dream.",0,5,1,Product,positive,"cute, flattering, long, high waisted, bell bottom vibe",cute and flattering jeans with a 70s bell bottom vibe.,2022-06-01 22:16:19.200000000
335,47,General Petite,Tops,Sweaters,936,,This is a great cut and looks good on. it is a very poor quality material. it balled and frayed in two wears. i returned it to the store.,2,2,0,Product,negative,"poor, balled, frayed, returned, great","poor quality material, balled and frayed in two wears",2022-06-02 03:50:24.000000000
336,29,General Petite,Bottoms,Pants,611,Flattering romper,"Rompers are usually tough for me. i am petite, especially on top (5'2"", 110 lbs, 34a), but have a healthy butt and hips, which can make sizing difficult. in this romper, i tried a regular xs, and found the fit very flattering. the top was blouse-y on me, but not overly so, and the arm holes didn't gape, which is usually an issue for me with non-petite sizing. the elastic waistband is also great, as you can adjust it to hit you in a flattering spot and keep the shorts from being too short (which",3,4,1,Product,positive,"tough, flattering, healthy, difficult, great","flattering fit, adjustable waistband, not too short",2022-06-02 09:24:28.800000000
337,26,General Petite,Jackets,Jackets,965,Perfect for california winters,"This sweater/coat is great. it super comfortable. it's perfect for my california winters! it could be layered for colder areas. this piece definitely runs large- like really large. i went with an xs instead of my usual small or medium. it is meant to be boxy, and still is but sizing down allowed for it to be more flattering. i'd definitely say go in store and try it on, you'll love it!",3,5,1,Product,positive,"comfortable, perfect, large, flattering, love","comfortable and flattering sweater/coat, perfect for California winters",2022-06-02 14:58:33.600000000
338,61,General,Jackets,Jackets,966,Great with everything,It's a great light jacket for early spring. ideal topper for jeans or denim skirt.,0,5,1,Product,positive,"great, ideal","great light jacket for early spring, ideal topper for jeans or denim skirt.",2022-06-02 20:32:38.400000000
339,34,General Petite,Dresses,Dresses,1080,Goddess dress,"This dress is so beautiful it makes me feel like a goddess, lol. i'm normally a 10/12 or m/l and took a 12. i think the 10 would have worked too. everything from the colors, fit and flow of the dress is wonderful. i didn't have any problem with there being too much fabric as some of the reviews mentioned.",0,5,1,Product,positive,"beautiful, goddess, wonderful, problem, mentioned","beautiful dress, colors, fit, flow, no problem with fabric",2022-06-03 02:06:43.200000000
340,62,General,Dresses,Dresses,1082,So disappointed!,"I was a huge fan of these lovely swing dresses from last year and bought all 3 colors. when i saw this new one, i was thrilled and ordered it immediately. what a disappointment! why did isabella sinclair mess with a good thing? the fabric is a very loose weave sort of ""homespun"" look, which wouldn't be a deal breaker, but i could see it would be very vulnerable to snags. last year's styles had a removable light knit full slip that allowed the airy fabrics to move. this version is fully lined. yo",14,2,0,Product,negative,"disappointment, vulnerability, thrilled, mess, disappointment",disappointment with the new version of the swing dress fabric,2022-06-03 07:40:48.000000000
341,53,Initmates,Intimate,Sleep,196,,"I bought this during the 25% off dress sale, but alas it is a chemise and not a dress. nevertheless i love it. in a smaller size (i exchanged an xs for an xxs) it is much more flattering and has more shape. the different fabrics make it interesting and fun.",3,5,1,"Marketing, Product",positive,"love, flattering, interesting, fun","interesting fabrics, flattering shape, love it",2022-06-03 13:14:52.800000000
342,68,General Petite,Dresses,Dresses,1081,Great dress but runs too big,"Loved pattern,  quality and fine details on this dress but  it ran large. i ordered petite small and it was way too loose/baggy .i had to return it.  i went bsck to order a petite x/small, but it was no longer available in this size on- line. so disappointed! 

fyi ,  i'm 5' , 112-115lbs and small boned -always wear size petite small . but not fir this dress! 

this dress is comfortable , well made, lined and pattern is extremely pretty with nice border ( which is hard to find for petites -a",0,4,1,Product,negative,"loved, disappointed, comfortable, pretty, nice","dress ran large, had to return, petite x/small not available",2022-06-03 18:48:57.600000000
343,43,General Petite,Tops,Fine gauge,895,Great sweater for fall,"This sweater is adorable. i got it in the grey pattern. it's got a great, forgiving fit, lots of stretch, with a hi-low waist, in a thick, soft knit and 3-quarter sleeves. the contrasting collar and cuffs add interest. it's great with jeans or dressed up with a pair of slacks. i can't wait for the weather to cool down so i can wear it. i might get it in more colors, too. it's a great basic.",17,5,1,Product,positive,"adorable, great, forgiving, stretch, thick, soft, contrasting, cool, basic","adorable sweater with forgiving fit, lots of stretch, thick and soft knit",2022-06-04 00:23:02.400000000
344,53,General,Tops,Knits,865,"Odd fit, beautiful design but poor execution","I wanted to love this blouse so much. but try as i might, it just fit so oddly on me. i'm usually a petite s so i purchased the xs in brown. first. the color was more gray-brown but it was still ok. but second, the fit was off. maybe i just got a bad one, but the center of the blouse was so offset, that the slit in the front laid so far to the left and the v-neck was so low that you could see my bra - there was no adjusting i could do to fix it. the material has a lovely soft silky feel to it an",7,1,0,Product,negative,"love, odd, bad, offset, low","odd fit, low v-neck, bad quality",2022-06-04 05:57:07.200000000
345,51,General,Tops,Knits,872,Vibrant red color,I got this shirt in red and black. both colors vibrant and material of shirt is nice cotton blend. will get lots of use from both shirts.,1,5,1,Product,positive,"satisfied, happy, content, pleased, excited","vibrant colors, nice cotton blend material, lots of use",2022-06-04 11:31:12.000000000
346,42,General,Bottoms,Shorts,282,Wow,"I absolutely love these shorts! i wear a 28 in all pilcro and these are no exception. i would not have grabbed these to try on, but the person who put my clothes in a fitting room added them for me. first, they are definitely short when rolled twice, and i do not have skinny legs. in fact, i never wear anything that exposes my thighs because i really dislike them. for some reason, these shorts make my legs look great! i thought for sure it was the mirrors at retailer, but i still like them at home",0,5,1,Product,positive,"love, exception, great, like",shorts make legs look great,2022-06-04 17:05:16.800000000
347,30,General,Dresses,Dresses,1096,Such a beautiful dress!,,0,5,1,,,,,2022-06-04 22:39:21.600000000
348,32,General Petite,Bottoms,Skirts,999,,"I wanted to love this skirt and i agree with the other reviewers. the color of the skirt is beautiful. i've never seen anything quite like it at retailer! the quality is superb and the material is fairly substantial given the brocade design. however, the skirt made my hips look a lot bigger than they are because the shape of the skirt is more of a tulip-design. i purchased an 0 petite (because my normal size 00 petite was sold out) and while the waist part fit the hip part was disproportionately l",4,4,1,Product,positive,"love, beautiful, superb, substantial, bigger","beautiful color, superb quality, tulip-design makes hips look bigger",2022-06-05 04:13:26.400000000
349,24,Initmates,Intimate,Intimates,173,Great product,Cute little sleep mask! the elastic band is wide so it doesn't ever feel like it's digging into your head. does a very good job keeping out light.,0,5,1,Product,positive,"cute, good, keeping out light","elastic band wide, good job keeping out light",2022-06-05 09:47:31.200000000
350,49,General,Tops,Sweaters,941,Good staple,"Love the color, weight and styling on this sweater. it is soft and comfortable and i will wear it a lot. the only downfall is that it sheds, so it can not be worn with leggings or you will end up with fuzz everywhere.",1,4,1,Product,positive,"love, comfortable, soft, downfall, sheds","soft and comfortable sweater, sheds a lot",2022-06-05 15:21:36.000000000
351,40,General,Tops,Blouses,824,A great pick for summer,"I'm normally a small in retailer tops, but i could tell that this would run big. i'm glad i sized down to an extra small. this top is flowy and airy without being baggy. the colors are summery and beautiful. my only complaint is that it's a bit sheer, and i can see the outline of my bra in front. i will have to wear a cami underneath.",1,4,1,Product,positive,"glad, beautiful, complaint, sheer, outline","flowy, airy, summery, bit sheer, wear cami",2022-06-05 20:55:40.800000000
352,25,General Petite,Tops,Blouses,824,Runs a bit large,"And hits below my waist just far enough to make my thighs look enormous. i think how it fits depends alot on body type. the material is nice, color pretty, not cheap looking so i will keep it but must wear a topper to slim down thise ugly thighs of mine.....",0,2,1,Product,negative,"enormous, ugly, slim down, nice, pretty","material nice, color pretty, must wear topper to slim down",2022-06-06 02:29:45.600000000
353,26,General,Tops,Fine gauge,907,Cute but ...,"This is really cute sweater, soft, cozy. around the chest bit small went up size but the shape looked the same. i'm keep it because of softness, warmth and versatile. i got it in black. would recommend it, or at least try it for yourself.",0,4,1,Product,positive,"cute, soft, cozy, small, same, softness, warmth, versatile, recommend","cute, soft, cozy sweater, recommend",2022-06-06 08:03:50.400000000
354,28,General Petite,Dresses,Dresses,1099,Gorgeous dress!,"I worse this dress to a rehersal dinner and received so many compliments. it was a perfect summer dress.. the colors are true to the picture and beautifil. it is also very well made, comfortable and flattering. i am 5'3' and 130 lbs and i ordered a medium petitte which fit great. it was short but not too short! it will be a go-to dress!",4,5,1,Product,positive,"compliments, perfect, beautiful, well made, comfortable, flattering, go-to","well-made, comfortable and flattering summer dress",2022-06-06 13:37:55.200000000
355,31,General,Tops,Knits,862,Fabulous and versatile,"This top is beautifully constructed, fits true to size i ordered a medium - the armholes are nicely cut - not too loose will be able to wear with a racer back bra, accommodates my larger bust 34dd.",0,5,1,Product,positive,"beautifully constructed, nicely cut, accommodates, larger bust","well-fitting top for larger bust, nicely cut armholes.",2022-06-06 19:12:00.000000000
356,35,General Petite,Dresses,Dresses,1082,Pretty but not for me,"I love the colors in this dress, it's very feminine. however, i wish it came in petite because even the xs is too overwhelming on my frame.",4,3,0,Product,positive,"love, feminine, wish, overwhelming",dress colors feminine petite xs overwhelming,2022-06-07 00:46:04.800000000
357,49,General,Bottoms,Pants,1059,Very comfortable,I love these pants. i saw them and had to have them. i love the classic plaid style and have always loved the blue/green combination. i purchased the fisherman sweater and saw these pants and new it would be a hit. get compliments on this combo all the time.,1,5,1,"Marketing, Product",positive,"love, classic, always, hit, compliments","classic plaid style, blue/green combination, fisherman sweater, hit, compliments",2022-06-07 06:20:09.600000000
358,43,General Petite,Jackets,Jackets,984,Returned with a bit of regret,"Very cute coat but could not keep it for the price...just not sure it is worth almost $200,00 (with tax added to cost). when it goes on sale, i will most likely buy it.",2,3,1,Sales,negative,"unsure, disappointed, hopeful, determined, satisfied","coat not worth the price, will buy when on sale",2022-06-07 11:54:14.400000000
359,26,General,Jackets,Jackets,966,Love and hate.,"This is a beautiful vest. i love the color-blocking, the modern and structured style, and its versatility.  i bought it with a defective item discount because there were some stains. i promptly took it to the dry cleaners and was informed that the black would bleed onto the white paneling if they did a full wash. they spot-cleaned it, and it did bleed. although the tag says to dry clean this baby, the black dye will bleed to the white fabric. i'll be taking it back into the store today for a ref",0,2,0,Product,negative,"love, beautiful, versatile, defective, stains, bleed, spot-cleaned, dye, taking it back","beautiful vest, color-blocking, modern style, defective item discount, black dye bleeding",2022-06-07 17:28:19.200000000
360,37,Initmates,Intimate,Lounge,622,Great versatile tank,"Fits well, super soft and very flattering. great for layering and for dressing up or down. highly recommend!",0,5,1,Product,positive,"flattering, recommend","fits well, super soft, great for layering and dressing up",2022-06-07 23:02:24.000000000
361,26,General,Tops,Knits,872,Nice top,"I bought this in white and coral. i usually wear xl, but both l and xl fit well. i bought coral in l and white in xl. it is a tad see-through but not a lot. the top is comfortable and looks very good on, coral is so dreamy and white perfect for a casual day out. i am not crazy about linen fabric though, it can be a bit scratchy, i would have preferred if the top were in a softer fabric. for now though i plan to keep both.",0,4,1,Product,positive,"comfortable, good, dreamy, perfect, scratchy","comfortable and good-looking top, dreamy coral and perfect white, slightly scratchy fabric.",2022-06-08 04:36:28.800000000
362,54,General,Tops,Knits,868,Love the cutout and the sleeve detail,This is very cute. i got a lot of compliments when i wore it. i'm 5'10 so i always struggle with tops being too short but this was ok,0,5,1,Product,positive,"cute, compliments, struggle, ok","cute top, compliments, ok for tall people",2022-06-08 10:10:33.600000000
363,42,General,Dresses,Dresses,1078,I can wear a jumpsuit?!?!,"I never would have thought that i could wear a jumpsuit and it actually look good on me, but this is it!!! the fabric is weighted some so it lays very flattering and is very comfortable. the sash can be tied several ways-front, back, or side. i will be traveling in this to the beach and pairing it with an retailer wrap, and then wearing it alone with sandals once we exit the freezing airplanes. a racer back bra works great with this piece and the pockets are an added bonus. it looks like a d",2,5,1,Product,positive,"flattering, comfortable, great, added bonus, looks good",comfortable jumpsuit with flattering fit and added pockets,2022-06-08 15:44:38.400000000
364,23,General,Tops,Blouses,831,Lovely,"This is such a lovely blouse! the color is true to the picture. i am a bigger girl--5'9"" and size 12, and i bought the large. the fit was beautiful--it was forgiving on my less-than-perfect midsection, but wasn't billowy at all. it did not pull around the shoulders or bust the way some button-up blouses do.",14,5,1,Product,positive,"lovely, forgiving, beautiful, true, billowy","lovely blouse, forgiving fit, beautiful color",2022-06-08 21:18:43.200000000
365,42,General,Tops,Knits,876,Beautiful detail,I purchased this in black. as in the other reviews the lace detail is a little snug in the arms but it did stretch. i did not have a problem with any fraying or quality issues. the shape is very flattering. i've been asked where i bought this several times.,0,5,1,Product,positive,"flattering, purchased, stretch, snug, quality","lace detail is snug but stretches, flattering shape, no quality issues.",2022-06-09 02:52:48.000000000
366,30,General Petite,Intimate,Lounge,128,Pills horribly,"I splurged on this pajama set for myself and now regret it. even though the design is adorable, the knitted fabric contains acrylic and started pilling a lot within the first week of wear. after a month and a couple washes, it looks horrible. it may be the worst case of pilling i've ever seen in a fabric. so so disappointed. it initially fit true to size but has stretched out a bit over time.",0,1,0,Product,negative,"regret, disappointed, worst, stretched out","knitted fabric pilling, disappointed with the quality.",2022-06-09 08:26:52.800000000
367,34,General,Trend,Trend,567,Lovely but the cut/sizing is not good,"This is a beautiful spring/summer dress, and the quality of the materials is great. i wanted to love it. but the sizing is ridiculous! i'm 5'3"" and 115 and i think you could fit three of me comfortably in the xs. while the pictures of the model in the dress don't suggest it has a shapeless cut, it definitely looked like a sack on me. a sack with a lovely print, but still an ill-fitting sack.",2,2,0,Product,negative,"disappointment, frustration, dissatisfaction, annoyance, regret","ill-fitting dress, sizing issue",2022-06-09 14:00:57.600000000
368,42,General,Tops,Knits,862,,,0,5,1,,,,,2022-06-09 19:35:02.400000000
369,33,General Petite,Dresses,Dresses,1077,Just perfect,"Love the dress. it's beautiful and flowy and makes you feel like a princess when you wear it. also very versatile, as it can be worn in multiple seasons and dressed up or dressed down. love everything about the dress and know that it will become a staple in my closet. runs true to size- xs = 0/2 and s = 2/4. if you are short, be prepared to have the hem taken up. 

worth the buy!",0,5,1,Product,positive,"love, beautiful, versatile, staple, worth","beautiful and versatile dress, worth the buy",2022-06-10 01:09:07.200000000
370,49,General,Tops,Knits,863,So comfy!,I bought this shirt in black and green and now bought the orange. it is casual and stylish at the same time. material is soft. great shirt!,0,5,1,Product,positive,"casual, stylish, great, soft","casual and stylish shirt, soft material",2022-06-10 06:43:12.000000000
371,39,General Petite,Bottoms,Skirts,1020,"Beautiful, unique piece","Love it! i am 125# and usually a size 2-4 or 26-27 in bottoms. typically size up for holding horses. based on other reviews, i ordered this in a 2. it stretched just a bit after wearing all day, so i'm glad i didn't get my normal 4. the fit is great, quality is great. it dresses up for a casual office day, wearing well with boots and tights, and i imagine pairing with tshirt and flip flops over the summer. i unique piece that quickly became a favorite.",0,5,1,Product,positive,"love, glad, great, favorite","great fit and quality, versatile for office or casual wear",2022-06-10 12:17:16.800000000
372,43,General,Tops,Knits,861,Fit off,"I got a medium as i usually wear that in everything. i am a 36d and this pulled a bit across my chest and back. it is a cute idea, but the fit is off for my body. i am 5'6 and hits me shorter than shown on the model, so hits at an odd length. i may try to order a large and see if it is better on me, because i am so hopeful for this to look cute on me! the teal blue color is beautiful, the pink is more a blush and washed me out, the grey is just grey. i bought three thinking this would be my go t",9,3,1,Product,negative,"hopeful, cute, beautiful, washed out, grey","fit is off, odd length, teal blue color is beautiful",2022-06-10 17:51:21.600000000
373,52,General,Tops,Knits,865,,,0,5,1,,,,,2022-06-10 23:25:26.400000000
374,29,General,Tops,Knits,868,Bulky!,"I wanted to like this top, as i usually adore a cute peplum feature. when i tried it on yesterday in the store, i was disappointed by how wide and bulky is it. i am petite (5'2"", 110 lbs), and i tried my usual xs. the fabric was substantial and of a high quality, but unfortunately in this design, that became a bad thing as the bottom of the shirt balooned out around me. it was very unflattering and i felt lost in the shirt! definitely try it on for yourself before purchasing.",1,3,0,Product,negative,"disappointed, unflattering, lost","wide and bulky peplum top, unflattering fit, high-quality fabric",2022-06-11 04:59:31.200000000
375,71,General Petite,Jackets,Outerwear,1126,Incredible find!,"I originally bought this jacket in a medium, but the sleeves were a bit long and overall fit a little big. i decided to exchange for a small and i am so glad i did!! this jacket feels great and the sleeves hit at just the right spot in the small size. i normally wear a 6.",1,5,1,Product,positive,"glad, great, right, wear","jacket feels great, sleeves hit at right spot",2022-06-11 10:33:36.000000000
376,49,General Petite,Jackets,Outerwear,1116,,"Fun and elegant!
this cape is my favorite purchase in a long time! the juxtaposition of the black and red body against the grey faux fur collar is stunning! it has brass detail snaps up and down both sides as well as at the generous pockets at natural length on both sides. it is very well made of good quality materials, as all tracey reese pieces have been in my experience.
it does run true to size as it is an oversized piece, which adds to its classy dramatic flare! it is comfortable to wear",5,5,1,Product,positive,"elegant, stunning, well made, good quality, classy",well-made oversized cape with brass detail snaps and generous pockets.,2022-06-11 16:07:40.800000000
377,39,General,Dresses,Dresses,1078,Missed the mark for me,"Online this dress looks so perfect, but in person it's a bit dowdy and unflattering, at least on me. i'm a size 4 with curves, and i was hoping it would enhance my waist and flatter my figure. but, sadly, it was too large on the waist and too poofy in the skirt, so it just did nothing for me. i considered sizing down to a 2 so that the waist would fit, but the skirt still has too much fabric, making my hips look large. so much potential, but missed the mark for me.",16,3,1,Product,negative,"disappointment, frustration, dissatisfaction, regret, missed opportunity","dress too large and poofy, missed potential for flattering fit.",2022-06-11 21:41:45.600000000
378,70,General,Tops,Blouses,824,,Too pricey for the quality of this imported product.,4,3,0,Product,negative,"disappointment, dissatisfaction",imported product is overpriced and low quality,2022-06-12 03:15:50.400000000
379,33,Initmates,Intimate,Swim,406,Looks beautiful on!,"I do agree with others that the draping does sit a little funny, but its nothing that a simple tack can't fix. this suit looks incredible on, and does a good job of hiding my ""mom pooch"" while still making me feel sexy with the cutouts. also covers the chest area well.",0,4,1,Product,positive,"agree, funny, incredible, good, sexy","suit looks incredible, hides ""mom pooch"", feels sexy",2022-06-12 08:49:55.200000000
380,48,General Petite,Bottoms,Skirts,1008,Coolest skirt i've seen in a while,"I haven?t loved the look of something so much in a while as this skirt in the green motif, which i spotted in my durham store. so i ordered it in the xspetite; my usual retailer size (+/- 105 lbs., 34"" hips, 26"" waist, average torso length, short legs). if you have smaller than a 26-inch waist, the waist of the xsp will probably be too big. i?d say this skirt is exactly as pictured. the fabric is a thickish, textured knit on the outside, with a thin, green, very soft jersey lining. you have to be",18,5,1,Product,positive,"loved, spotted, ordered, say, pictured","green skirt, thickish fabric, soft lining",2022-06-12 14:24:00.000000000
381,47,General,Bottoms,Jeans,1033,Fantastic white pant!,"Love these! no bulging, substantive fabric, very flattering cut. i'm 5'7"", 170 lbs, wearing a size 12. these were perfectly cut for me, no pulling, bulging, or weird gathering in awkward areas (we all know what that means).. these will be a true staple for me with a variety of high-heeled sandals, kitten heels, and gladiators - i can't wait to wear them.

my only concern is the fabric and it's ability to repel stains - sometimes the trade off for stretch is easy care. we'll see. i'm willing to",0,4,1,Product,positive,"love, flattering, perfect, staple, can't wait","flattering cut, variety of high-heeled sandals, easy care",2022-06-12 19:58:04.800000000
382,43,General,Tops,Blouses,850,Huge blouse,"I tried this blouse on in the store. i'm generally an 8 or 10 in this brand. i got down to a size 4 and gave up. this blouse is huge all the way around. the detail on the blouse is pretty, but the tent like cut made it impossible for me to buy it. i know retailers blouses can be swingy and flows but this went way beyond. perhaps on a tall person the swing would work but on a short person like myself...i looked ridiculous.",10,2,0,Product,negative,"frustration, disappointment, dissatisfaction, annoyance, embarrassment","oversized blouse, pretty detail, but unflattering tent-like cut",2022-06-13 01:32:09.600000000
383,45,General Petite,Tops,Knits,862,Great top,"I liked this top so much that i purchased it in two colors: green and wine. the top and colors are exactly as pictured online, the material feels great, and they fit nicely. the fit was true to size.",1,5,1,Product,positive,"liked, purchased, great, fit nicely, true to size","top in two colors, material feels great, fit true to size",2022-06-13 07:06:14.400000000
384,36,General Petite,Dresses,Dresses,1086,,"Simple, classic, figure flattering, and reasonably priced!",5,5,1,Product,positive,"simple, classic, figure flattering, reasonably priced","simple, classic, figure flattering, reasonably priced",2022-06-13 12:40:19.200000000
385,39,General Petite,Tops,Sweaters,936,,Sweater fits great and is nice and soft. i am 5'11 and got a m and the arms and length are perfect for me,1,5,1,Product,positive,"satisfied, comfortable, content, happy, pleased","sweater fits great, nice and soft, perfect arms and length.",2022-06-13 18:14:24.000000000
386,39,General,Dresses,Dresses,1094,Heavy material,I looked forward to this dress.  it's a lovely design.  it's a heavy material that doesn't have the most flattering fit.  the green lace has snags along the hemlines which is a disappointment.  i'm returning the dress.,0,3,0,Product,negative,"disappointment, returning","heavy material, snags along hemlines, returning dress",2022-06-13 23:48:28.800000000
387,37,General,Tops,Knits,862,Great 3 season top,"This top will be great in 3 seasons. i can wear it alone in summer to dress up and with a blazer or sweater in fall and winter. the velvet is beautiful and luxurious without being excessive or too much. it's very soft and comfortable on the skin, although a little larger than i expected. i ordered my usual size small and probably should have gone down a size.",0,5,1,Product,positive,"great, beautiful, luxurious, soft, comfortable","velvet top, versatile for multiple seasons, slightly larger sizing",2022-06-14 05:22:33.600000000
388,32,General,Dresses,Dresses,1094,Beautiful dress!,"Very lovely print and fabric, there is more gray to the print's background than the photo shows. the shape is feminine and flattering, although the sleeves are more fitted on my arms. i bought this to wear to an early fall rehearsal dinner. very happy with the purchase!",0,5,1,Product,positive,"lovely, feminine, flattering, happy","lovely print and fabric, feminine shape, happy with purchase",2022-06-14 10:56:38.400000000
389,68,General Petite,Tops,Sweaters,933,Wonderful sweater!!,"The sweater is a great fit and the styling is very original and wonderful. it will be great with leggings, jeans, or even a straight skirt. i would definitely recommend this sweater.",1,5,1,Product,positive,"great, original, wonderful, recommend","great fit, original styling, recommend sweater",2022-06-14 16:30:43.200000000
390,46,General,Tops,Knits,860,Not flatteuing,While these seem like interesting designs which i applaud!  the execution in the design of the fabric is not appealing.,1,3,0,Product,negative,"interesting, applaud, execution, design, fabric",fabric design execution not appealing,2022-06-14 22:04:48.000000000
391,31,General,Dresses,Dresses,1092,Great dress,"I bought this dress for an october wedding in savannah, ga. i love it! can be dressed up or down. i'm 5'3"" and 112 lbs and bought an xs. like other reviewers said, it's a little tight through the arms. i probably could have done an xxs but wouldn't be as comfortable. i'd recommend this dress to anyone looking for a versatile dress for fall and winter.",0,5,1,Product,positive,"love, comfortable, recommend, versatile, looking",versatile dress for fall and winter,2022-06-15 03:38:52.800000000
392,58,General Petite,Tops,Blouses,834,Cute top,I saw this in the store in a display and tried it on. i got it in the sky color which is a lavender blue color. the front and back are both cute. this top can be dressed up or worn with jeans.,0,5,1,Product,positive,"cute, dressed up, worn, lavender blue, sky color","lavender blue top, cute, versatile",2022-06-15 09:12:57.600000000
393,34,General Petite,Tops,Blouses,835,Better in person,"I was pleasantly surprised with the fit of this top! at 5' 6"", i'm rather busty, short waisted, and full-figured. i ordered my usual size 16, and the fit is a flattering, 'almost' empire silhouette. i was worried about the back being too long for my body shape, but it works great. the embroidery and construction make this a really special piece.",3,5,1,Product,positive,"pleasantly surprised, flattering, worried, great, special","flattering fit, embroidery and construction make it special.",2022-06-15 14:47:02.400000000
394,44,General,Tops,Blouses,836,Subdued sexy,"Surprisingly flattering on, especially with pants/jeans. extremely figure flattering because it enhances the figure and hides flaws: the pleating enhances the bust, the v-cut provides a touch of a peekaboo (not enough to show cleavage but it's there in a super flattering way), the hem flares out a bit to hide the tummy and enhance the bust even more; the short sleeves are versatile so it can be worn in the office, under a jacket, or just plain for going out. the material is not too thick but not",6,5,1,Product,positive,"flattering, figure-enhancing, versatile, comfortable, stylish","figure-enhancing design, versatile for office or going out.",2022-06-15 20:21:07.200000000
395,52,General Petite,Tops,Knits,872,,"Cute top. a little delicate. my top arrived with a rip in the sleeve. fortunately, my tailor was able to fix it.",0,5,1,Product,negative,"delicate, rip, fix","top arrived with rip in sleeve, tailor fixed it",2022-06-16 01:55:12.000000000
